"ID","Sex","Age.at.Start..Month.","Age.Group","Light.Group","PRE.POST","Amplitude","Period","Phase","Mean","X..Variance","MESOR","F","p","RA","IV","IS","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"58","M  ","9","Middle-age","CNT","POST",1.588,24,13.75,1.302,5.9,1.302,387.387,0,0.609,1.218,0.456,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"58","M  ","9","Middle-age","CNT","PRE",2.247,24,3.25,1.483,8.258,1.483,656.515,0,0.731,1.152,0.51,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"60","M  ","20","Old-age","CNT ","POST",4.728,24,33.25,2.819,19.946,2.819,1653.398,0,0.792,0.958,0.663,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"60","M  ","20","Old-age","CNT ","PRE",3.797,24,38.5,2.44,13.569,2.44,1082.493,0,0.695,1.19,0.499,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"61","F  ","11","Middle-age","ISF","POST",6.771,24,30.25,3.187,33.812,3.187,3354.897,0,0.812,0.515,0.763,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"61","F  ","11","Middle-age","ISF","PRE",2.307,24,20.25,3.93,3.538,3.93,263.814,0,0.262,0.826,0.285,"Mid_Female_ISF","Mid_ISF","Mid_Female","Mid","Female_ISF","Female","ISF"
"62","M  ","9","Middle-age","ISF","PRE",3.156,24,21.75,1.738,20.813,1.738,1661.306,0,0.806,0.636,0.546,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"62","M  ","9","Middle-age","ISF","POST",3.791,24,348,2.77,19.601,2.77,1673.422,0,0.574,0.59,0.483,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"63","F  ","20","Old-age","CNT","POST",4.221,24,22.75,3.728,13.72,3.728,1070.849,0,0.513,1.052,0.484,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"63","F  ","20","Old-age","CNT","PRE",4.103,24,31.25,4.063,13.93,4.063,1120.654,0,0.455,1.269,0.5,"Old_Female_CTR","Old_CTR","Old_Female","Old","Female_CTR","Female","CTR"
"64","F  ","20","Old-age","ISF","POST",4.898,24,27.25,3.25,12.836,3.25,848.414,0,0.676,1.325,0.498,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"64","F  ","20","Old-age","ISF","PRE",4.984,24,24.75,3.149,13.233,3.149,1026.217,0,0.691,1.394,0.553,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"65","M  ","9","Middle-age","ISF","POST",3.249,24,33,3.426,7.962,3.426,721.058,0,0.472,1.339,0.575,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"65","M  ","9","Middle-age","ISF","PRE",4.196,24,29,3.985,15.571,3.985,1302.726,0,0.487,1.167,0.587,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"66","M  ","9","Middle-age","CNT","POST",3.463,24,39,2.627,10.773,2.627,759.882,0,0.607,1.134,0.479,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"66","M  ","9","Middle-age","CNT","PRE",3.714,24,22.75,2.686,12.895,2.686,1016.676,0,0.663,1.217,0.578,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"67","F  ","24","Old-age","ISF","POST",4.432,24,76,5.424,13.947,5.424,1102.216,0,0.396,1.018,0.593,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"67","F  ","24","Old-age","ISF","PRE",3.883,24,79.75,3.678,11.549,3.678,821.212,0,0.54,1.007,0.597,"Old_Female_ISF","Old_ISF","Old_Female","Old","Female_ISF","Female","ISF"
"68","M  ","10","Middle-age","CNT","POST",5.535,24,89.5,4.103,14.866,4.103,1388.537,0,0.656,0.832,0.659,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
